Sample,Area,Year,Month,Month2,LCFmm,TLmm,TLcm,leng,Sex,opaque,Edge,Agemonths,Agemonths2,AgeYears,AdjAge,AdjAgeBirthDate,Cohorts,YrClass
SW990831-13,sw,1999,Aug,8,720,850,85,85,f,-9,na,-9,-9,-9,8,8,8,1991
sw990809-3,sw,1999,Aug,8,610,720,72,70,f,-9,na,-9,-9,-9,9,9,9,1990
SW990829-13,sw,1999,Aug,8,632,746,75,75,m,-9,na,-9,-9,-9,9,9,9,1990
SW990829-18,sw,1999,Aug,8,635,749,75,75,m,-9,na,-9,-9,-9,9,9,9,1990
sw990829-19,sw,1999,Aug,8,685,808,81,80,f,-9,na,-9,-9,-9,9,9,9,1990
sw990829-22,sw,1999,Aug,8,640,755,76,75,f,-9,na,-9,-9,-9,9,9,9,1990
SW990830-13,sw,1999,Aug,8,638,753,75,75,m,-9,na,-9,-9,-9,9,9,9,1990
sw990830-7,sw,1999,Aug,8,685,808,81,80,f,-9,na,-9,-9,-9,9,9,9,1990
SW990830-7,sw,1999,Aug,8,685,808,81,80,m,-9,na,-9,-9,-9,9,9,9,1990
SW990830-8,sw,1999,Aug,8,655,773,77,75,m,-9,na,-9,-9,-9,9,9,9,1990
sw990831-1,sw,1999,Aug,8,643,759,76,75,f,-9,na,-9,-9,-9,9,9,9,1990
sw990831-3,sw,1999,Aug,8,620,732,73,75,m,-9,na,-9,-9,-9,9,9,9,1990
sw990817-1,sw,1999,Aug,8,651,768,77,75,f,-9,na,-9,-9,-9,10,10,10,1989
SW990826-5,sw,1999,Aug,8,650,767,77,75,m,-9,na,-9,-9,-9,11,11,11,1988
SW990829-12,sw,1999,Aug,8,654,772,77,75,m,-9,na,-9,-9,-9,11,11,11,1988
SW990830-19,sw,1999,Aug,8,705,832,83,85,f,-9,na,-9,-9,-9,14,14,14,1985
SW990829-17,sw,1999,Aug,8,705,832,83,85,m,-9,na,-9,-9,-9,15,15,15,1984
sw990830-20,sw,1999,Aug,8,715,844,84,85,f,-9,na,-9,-9,-9,15,15,15,1984
SW990830-17,sw,1999,Aug,8,716,845,84,85,m,-9,na,-9,-9,-9,16,16,16,1983
sw990831-2,sw,1999,Aug,8,725,855,86,85,f,-9,na,-9,-9,-9,20,20,20,1979
SW990830-15,sw,1999,Aug,8,716,845,84,85,m,-9,na,-9,-9,-9,21,21,21,1978
sw990829-5,sw,1999,Aug,8,775,914,91,90,f,-9,na,-9,-9,-9,22,22,22,1977
sw990829-10,sw,1999,Aug,8,790,932,93,95,f,-9,na,-9,-9,-9,24,24,24,1975
sw990829-15,sw,1999,Aug,8,765,903,90,90,f,-9,na,-9,-9,-9,27,27,27,1972
SW990730-1,sw,1999,July,7,702,828,83,85,f,-9,na,-9,-9,-9,14.9,14,15,1984
SW990727-4,sw,1999,July,7,730,861,86,85,f,-9,na,-9,-9,-9,18.9,18,19,1980
SW990728-1,sw,1999,July,7,730,861,86,85,f,-9,na,-9,-9,-9,21.9,21,22,1977
